,Date,Home Team,Away Team,Betting Score Spread,Final Score Spread,Betting Line Error
269,2017-11-24 00:00:00,CLE,CHA,-5.5,-1,-4.5
1048,2018-03-19 00:00:00,CLE,MIL,-3.0,-7,4.0
1644,2018-12-01 00:00:00,CLE,TOR,12.0,11,1.0
756,2018-01-31 00:00:00,CLE,MIA,-2.5,-2,-0.5
1347,2018-10-21 00:00:00,CLE,ATL,-8.0,22,-30.0
352,2017-12-06 00:00:00,CLE,SAC,-12.5,-6,-6.5
1311,2018-06-08 00:00:00,CLE,GSW,4.5,23,-18.5
328,2017-12-02 00:00:00,CLE,MEM,-11.5,-5,-6.5
379,2017-12-09 00:00:00,CLE,PHI,-5.5,-7,1.5
868,2018-02-22 00:00:00,CLE,WAS,-6.0,7,-13.0
135,2017-11-05 00:00:00,CLE,ATL,-11.5,2,-13.5
429,2017-12-16 00:00:00,CLE,UTA,-9.5,-9,-0.5
1175,2018-04-05 00:00:00,CLE,WAS,-5.5,-4,-1.5
1590,2018-11-24 00:00:00,CLE,HOU,6.5,-9,15.5
948,2018-03-05 00:00:00,CLE,DET,-6.0,-22,16.0
414,2017-12-14 00:00:00,CLE,LAL,-10.0,-9,-1.0
28,2017-10-21 00:00:00,CLE,ORL,-11.5,21,-32.5
297,2017-11-28 00:00:00,CLE,MIA,-4.0,-11,7.0
935,2018-03-03 00:00:00,CLE,DEN,-4.0,9,-13.0
1606,2018-11-26 00:00:00,CLE,MIN,6.0,7,-1.0
1510,2018-11-13 00:00:00,CLE,CHA,9.0,-24,33.0
1568,2018-11-21 00:00:00,CLE,LAL,9.0,4,5.0
465,2017-12-21 00:00:00,CLE,CHI,-10.0,-3,-7.0
1155,2018-04-03 00:00:00,CLE,TOR,-1.5,-6,4.5
906,2018-02-27 00:00:00,CLE,BKN,-10.5,-6,-4.5
396,2017-12-12 00:00:00,CLE,ATL,-12.0,-9,-3.0
1220,2018-04-11 00:00:00,CLE,NYK,-8.5,12,-20.5
1148,2018-04-01 00:00:00,CLE,DAL,-10.5,-11,0.5
892,2018-02-25 00:00:00,CLE,SAS,-4.5,16,-20.5
1235,2018-04-15 00:00:00,CLE,IND,-7.5,18,-25.5
105,2017-11-01 00:00:00,CLE,IND,-10.0,17,-27.0
1666,2018-12-05 00:00:00,CLE,GSW,11.0,24,-13.0
921,2018-03-01 00:00:00,CLE,PHI,-2.5,11,-13.5
733,2018-01-28 00:00:00,CLE,DET,-7.5,-17,9.5
1290,2018-05-07 00:00:00,CLE,TOR,-5.0,-35,30.0
644,2018-01-15 00:00:00,CLE,GSW,5.5,10,-4.5
253,2017-11-22 00:00:00,CLE,BKN,-11.0,-10,-1.0
714,2018-01-26 00:00:00,CLE,IND,-6.0,-7,1.0
1079,2018-03-23 00:00:00,CLE,PHX,-15.5,-25,9.5
1063,2018-03-21 00:00:00,CLE,TOR,2.0,-3,5.0
1423,2018-11-01 00:00:00,CLE,DEN,5.0,19,-14.0
663,2018-01-18 00:00:00,CLE,ORL,-11.5,-1,-10.5
673,2018-01-20 00:00:00,CLE,OKC,-2.5,24,-26.5
1408,2018-10-30 00:00:00,CLE,ATL,-4.5,-22,17.5
1364,2018-10-24 00:00:00,CLE,BKN,-2.5,16,-18.5
1388,2018-10-27 00:00:00,CLE,IND,7.0,12,-5.0
2132,2019-02-08 00:00:00,DAL,MIL,5.5,15,-9.5
5041,2021-11-02 00:00:00,DAL,MIA,2.5,15,-12.5
3559,2020-03-06 00:00:00,DAL,MEM,-7.5,-25,17.5
902,2018-02-26 00:00:00,DAL,IND,3.0,-6,9.0
4989,2021-10-26 00:00:00,DAL,HOU,-11.0,-10,-1.0
5026,2021-10-31 00:00:00,DAL,SAC,-4.5,-6,1.5
248,2017-11-20 00:00:00,DAL,BOS,7.0,8,-1.0
3573,2020-03-08 00:00:00,DAL,IND,-6.5,3,-9.5
3602,2020-07-31 00:00:00,DAL,HOU,1.5,4,-2.5
6741,2022-12-27 00:00:00,DAL,NYK,-5.5,-5,-0.5
2829,2019-11-20 00:00:00,DAL,GSW,-14.5,-48,33.5
1543,2018-11-17 00:00:00,DAL,GSW,2.0,-3,5.0
2145,2019-02-10 00:00:00,DAL,POR,3.0,-1,4.0
1215,2018-04-10 00:00:00,DAL,PHX,-2.5,27,-29.5
7863,2023-12-12 00:00:00,DAL,LAL,3.0,-2,5.0
5006,2021-10-28 00:00:00,DAL,SAS,-6.5,-5,-1.5
3594,2020-03-11 00:00:00,DAL,DEN,2.5,-16,18.5
6757,2022-12-29 00:00:00,DAL,HOU,-10.0,-15,5.0
8221,2024-02-03 00:00:00,DAL,MIL,4.0,12,-8.0
6723,2022-12-25 00:00:00,DAL,LAL,-7.5,-9,1.5
6198,2022-05-08 00:00:00,DAL,PHX,3.0,-10,13.0
3546,2020-03-04 00:00:00,DAL,NOP,-6.0,-4,-2.0
8529,2024-03-21 00:00:00,DAL,UTA,-14.0,-16,2.0
5235,2021-11-27 00:00:00,DAL,WAS,-6.5,6,-12.5
6615,2022-12-09 00:00:00,DAL,MIL,1.0,1,0.0
3420,2020-02-10 00:00:00,DAL,UTA,1.0,4,-3.0
3436,2020-02-12 00:00:00,DAL,SAC,-8.5,-19,10.5
2249,2019-03-02 00:00:00,DAL,MEM,-4.5,30,-34.5
5907,2022-03-09 00:00:00,DAL,NYK,-8.5,30,-38.5
8392,2024-03-03 00:00:00,DAL,PHI,-7.5,4,-11.5
6634,2022-12-12 00:00:00,DAL,OKC,-8.5,-7,-1.5
7830,2023-12-06 00:00:00,DAL,UTA,-11.5,-50,38.5
3476,2020-02-24 00:00:00,DAL,MIN,-13.5,-16,2.5
2171,2019-02-13 00:00:00,DAL,MIA,-3.0,11,-14.0
2228,2019-02-27 00:00:00,DAL,IND,1.0,-9,10.0
2844,2019-11-22 00:00:00,DAL,CLE,-10.0,-42,32.0
1521,2018-11-14 00:00:00,DAL,UTA,5.0,-50,55.0
5141,2021-11-15 00:00:00,DAL,DEN,-5.5,-10,4.5
497,2017-12-26 00:00:00,DAL,TOR,6.0,-5,11.0
6665,2022-12-16 00:00:00,DAL,POR,-4.0,-20,16.0
692,2018-01-22 00:00:00,DAL,WAS,2.0,-23,25.0
2191,2019-02-22 00:00:00,DAL,DEN,7.0,10,-3.0
5087,2021-11-08 00:00:00,DAL,NOP,-9.0,-16,7.0
5073,2021-11-06 00:00:00,DAL,BOS,-3.5,-3,-0.5
1395,2018-10-28 00:00:00,DAL,UTA,4.5,9,-4.5
2118,2019-02-06 00:00:00,DAL,CHA,-5.0,-6,1.0
6650,2022-12-14 00:00:00,DAL,CLE,-2.5,15,-17.5
2732,2019-11-06 00:00:00,DAL,ORL,-7.0,-1,-6.0
3635,2020-08-06 00:00:00,DAL,LAC,4.0,15,-11.0
917,2018-02-28 00:00:00,DAL,OKC,4.5,1,3.5
447,2017-12-18 00:00:00,DAL,PHX,-7.5,6,-13.5
6898,2023-01-18 00:00:00,DAL,ATL,-2.5,8,-10.5
6040,2022-03-27 00:00:00,DAL,UTA,1.0,-14,15.0
4806,2021-05-12 00:00:00,DAL,NOP,-9.5,-18,8.5
7913,2023-12-20 00:00:00,DAL,LAC,1.5,9,-7.5
2015,2019-01-22 00:00:00,DAL,LAC,-3.0,-8,5.0
6915,2023-01-20 00:00:00,DAL,MIA,2.0,-25,27.0
8171,2024-01-27 00:00:00,DAL,SAC,4.0,5,-1.0
180,2017-11-11 00:00:00,DAL,CLE,6.0,7,-1.0
7416,2023-04-05 00:00:00,DAL,SAC,-6.0,-4,-2.0
6928,2023-01-22 00:00:00,DAL,LAC,-2.0,14,-16.0
959,2018-03-06 00:00:00,DAL,DEN,6.5,-11,17.5
5998,2022-03-21 00:00:00,DAL,MIN,-1.5,-2,0.5
6946,2023-01-24 00:00:00,DAL,WAS,-7.0,1,-8.0
4766,2021-05-07 00:00:00,DAL,CLE,-10.5,-20,9.5
1594,2018-11-24 00:00:00,DAL,BOS,2.5,-9,11.5
23,2017-10-20 00:00:00,DAL,SAC,-6.0,5,-11.0
1972,2019-01-16 00:00:00,DAL,SAS,-1.0,4,-5.0
4755,2021-05-06 00:00:00,DAL,BKN,3.0,-4,7.0
3824,2020-12-30 00:00:00,DAL,CHA,-8.0,19,-27.0
3835,2021-01-01 00:00:00,DAL,MIA,1.5,-10,11.5
1953,2019-01-13 00:00:00,DAL,GSW,6.0,5,1.0
60,2017-10-25 00:00:00,DAL,MEM,3.0,-9,12.0
2037,2019-01-25 00:00:00,DAL,DET,-5.0,-5,0.0
2817,2019-11-18 00:00:00,DAL,SAS,-4.5,-7,2.5
4822,2021-05-14 00:00:00,DAL,TOR,-15.0,-4,-11.0
3722,2020-08-30 00:00:00,DAL,LAC,9.5,14,-4.5
7878,2023-12-14 00:00:00,DAL,MIN,2.0,18,-16.0
7813,2023-12-02 00:00:00,DAL,OKC,5.0,6,-1.0
6806,2023-01-05 00:00:00,DAL,BOS,3.0,29,-26.0
6053,2022-03-29 00:00:00,DAL,LAL,-12.0,-18,6.0
3648,2020-08-08 00:00:00,DAL,MIL,5.5,-4,9.5
6822,2023-01-07 00:00:00,DAL,NOP,-9.0,-10,1.0
3665,2020-08-11 00:00:00,DAL,POR,2.5,3,-0.5
4894,2021-06-04 00:00:00,DAL,LAC,3.0,7,-4.0
460,2017-12-20 00:00:00,DAL,DET,1.0,-17,18.0
2803,2019-11-16 00:00:00,DAL,TOR,-4.5,-8,3.5
4882,2021-05-30 00:00:00,DAL,LAC,3.5,25,-21.5
8413,2024-03-05 00:00:00,DAL,IND,-5.5,17,-22.5
7445,2023-04-09 00:00:00,DAL,SAS,-4.0,21,-25.0
8186,2024-01-29 00:00:00,DAL,ORL,-4.0,-2,-2.0
4874,2021-05-28 00:00:00,DAL,LAC,3.0,10,-7.0
7631,2023-11-05 00:00:00,DAL,CHA,-11.5,-6,-5.5
3703,2020-08-21 00:00:00,DAL,LAC,5.0,8,-3.0
1572,2018-11-21 00:00:00,DAL,BKN,-5.5,-6,0.5
3709,2020-08-23 00:00:00,DAL,LAC,7.0,-2,9.0
124,2017-11-03 00:00:00,DAL,NOP,4.5,5,-0.5
944,2018-03-04 00:00:00,DAL,NOP,3.5,17,-13.5
2049,2019-01-27 00:00:00,DAL,TOR,4.5,3,1.5
7431,2023-04-07 00:00:00,DAL,CHI,-2.0,3,-5.0
2745,2019-11-08 00:00:00,DAL,NYK,-11.0,4,-15.0
5247,2021-11-29 00:00:00,DAL,CLE,-6.5,18,-24.5
202,2017-11-14 00:00:00,DAL,SAS,6.0,6,0.0
849,2018-02-13 00:00:00,DAL,SAC,-7.0,5,-12.0
2632,2019-10-23 00:00:00,DAL,WAS,-9.0,-8,-1.0
720,2018-01-26 00:00:00,DAL,POR,1.5,14,-12.5
80,2017-10-28 00:00:00,DAL,PHI,1.0,2,-1.0
2936,2019-12-04 00:00:00,DAL,MIN,-5.5,-7,1.5
5593,2022-01-20 00:00:00,DAL,PHX,2.0,8,-6.0
2498,2019-04-05 00:00:00,DAL,MEM,-4.0,10,-14.0
6322,2022-10-30 00:00:00,DAL,ORL,-9.5,-9,-0.5
5587,2022-01-19 00:00:00,DAL,TOR,-4.0,-4,0.0
5575,2022-01-17 00:00:00,DAL,OKC,-11.5,-2,-9.5
2483,2019-04-03 00:00:00,DAL,MIN,-2.5,2,-4.5
6344,2022-11-02 00:00:00,DAL,UTA,-6.5,-3,-3.5
5561,2022-01-15 00:00:00,DAL,ORL,-12.0,-16,4.0
6155,2022-04-18 00:00:00,DAL,UTA,5.0,-6,11.0
8473,2024-03-13 00:00:00,DAL,GSW,-8.5,-10,1.5
223,2017-11-17 00:00:00,DAL,MIN,6.0,24,-18.0
3136,2020-01-02 00:00:00,DAL,BKN,-8.0,-12,4.0
6356,2022-11-04 00:00:00,DAL,TOR,-4.5,-1,-3.5
2469,2019-04-01 00:00:00,DAL,PHI,4.5,-20,24.5
571,2018-01-05 00:00:00,DAL,CHI,-4.0,3,-7.0
3153,2020-01-04 00:00:00,DAL,CHA,-11.5,3,-14.5
6146,2022-04-16 00:00:00,DAL,UTA,5.5,6,-0.5
5512,2022-01-09 00:00:00,DAL,CHI,1.0,-14,15.0
3168,2020-01-06 00:00:00,DAL,CHI,-8.0,-8,0.0
6315,2022-10-29 00:00:00,DAL,OKC,-10.5,6,-16.5
7565,2023-10-27 00:00:00,DAL,BKN,-6.0,-5,-1.0
3085,2019-12-26 00:00:00,DAL,SAS,-8.0,-4,-4.0
1461,2018-11-06 00:00:00,DAL,WAS,1.5,-19,20.5
5749,2022-02-10 00:00:00,DAL,LAC,-6.0,-7,1.0
2963,2019-12-08 00:00:00,DAL,SAC,-8.5,4,-12.5
6207,2022-05-12 00:00:00,DAL,PHX,2.0,-27,29.0
5734,2022-02-08 00:00:00,DAL,DET,-10.5,-30,19.5
5720,2022-02-06 00:00:00,DAL,ATL,1.5,-9,10.5
1355,2018-10-22 00:00:00,DAL,CHI,-5.0,-6,1.0
6217,2022-05-22 00:00:00,DAL,GSW,-3.0,9,-12.0
6219,2022-05-24 00:00:00,DAL,GSW,-2.0,-10,8.0
741,2018-01-29 00:00:00,DAL,MIA,2.0,7,-5.0
5708,2022-02-04 00:00:00,DAL,PHI,1.5,-9,10.5
3007,2019-12-14 00:00:00,DAL,MIA,-8.5,4,-12.5
6384,2022-11-07 00:00:00,DAL,BKN,-6.0,-2,-4.0
600,2018-01-09 00:00:00,DAL,ORL,-7.0,-15,8.0
3037,2019-12-18 00:00:00,DAL,BOS,1.5,6,-4.5
5767,2022-02-12 00:00:00,DAL,LAC,-7.0,2,-9.0
5657,2022-01-29 00:00:00,DAL,IND,-10.5,-27,16.5
1343,2018-10-20 00:00:00,DAL,MIN,-1.5,-4,2.5
232,2017-11-18 00:00:00,DAL,MIL,6.0,-32,38.0
6179,2022-04-25 00:00:00,DAL,UTA,-3.0,-25,22.0
6263,2022-10-22 00:00:00,DAL,MEM,-5.5,-41,35.5
5617,2022-01-23 00:00:00,DAL,MEM,-4.0,-13,9.0
7715,2023-11-19 00:00:00,DAL,SAC,2.5,16,-13.5
2527,2019-04-09 00:00:00,DAL,PHX,-8.5,-11,2.5
586,2018-01-07 00:00:00,DAL,NYK,-5.0,4,-9.0
5691,2022-02-02 00:00:00,DAL,OKC,-12.0,6,-18.0
8317,2024-02-22 00:00:00,DAL,PHX,-2.0,-10,8.0
3182,2020-01-08 00:00:00,DAL,DEN,-4.0,1,-5.0
5480,2022-01-05 00:00:00,DAL,GSW,4.5,-17,21.5
44,2017-10-23 00:00:00,DAL,GSW,13.5,30,-16.5
7782,2023-11-28 00:00:00,DAL,HOU,-4.0,-6,2.0
5356,2021-12-15 00:00:00,DAL,LAL,1.5,3,-1.5
2348,2019-03-16 00:00:00,DAL,CLE,-5.5,-5,-0.5
5347,2021-12-13 00:00:00,DAL,CHA,-2.5,-24,21.5
828,2018-02-10 00:00:00,DAL,LAL,-3.5,-7,3.5
8288,2024-02-12 00:00:00,DAL,WAS,-12.0,-8,-4.0
3329,2020-01-28 00:00:00,DAL,PHX,-7.0,29,-36.0
2874,2019-11-26 00:00:00,DAL,LAC,1.5,15,-13.5
2321,2019-03-12 00:00:00,DAL,SAS,3.5,7,-3.5
6539,2022-11-29 00:00:00,DAL,GSW,-1.0,-3,2.0
7656,2023-11-08 00:00:00,DAL,TOR,-4.5,11,-15.5
5300,2021-12-07 00:00:00,DAL,BKN,1.5,3,-1.5
2308,2019-03-10 00:00:00,DAL,HOU,8.0,1,7.0
282,2017-11-25 00:00:00,DAL,OKC,6.0,-16,22.0
5282,2021-12-04 00:00:00,DAL,MEM,0.0,7,-7.0
7802,2023-12-01 00:00:00,DAL,MEM,-6.0,14,-20.0
1432,2018-11-02 00:00:00,DAL,NYK,-5.5,12,-17.5
2697,2019-11-01 00:00:00,DAL,LAL,-1.0,9,-10.0
5275,2021-12-03 00:00:00,DAL,NOP,-7.0,16,-23.0
8268,2024-02-10 00:00:00,DAL,OKC,1.0,-35,36.0
5890,2022-03-07 00:00:00,DAL,UTA,1.0,-8,9.0
3383,2020-02-05 00:00:00,DAL,MEM,-4.0,14,-18.0
6197,2022-05-06 00:00:00,DAL,PHX,-1.0,-9,8.0
3355,2020-02-01 00:00:00,DAL,ATL,-4.5,-23,18.5
6587,2022-12-05 00:00:00,DAL,PHX,-3.0,-19,16.0
1493,2018-11-10 00:00:00,DAL,OKC,1.0,-15,16.0
2367,2019-03-18 00:00:00,DAL,NOP,-5.0,4,-9.0
561,2018-01-03 00:00:00,DAL,GSW,8.5,3,5.5
3197,2020-01-10 00:00:00,DAL,LAL,-2.5,15,-17.5
626,2018-01-13 00:00:00,DAL,LAL,-4.5,6,-10.5
3204,2020-01-11 00:00:00,DAL,PHI,-2.5,-18,15.5
2425,2019-03-26 00:00:00,DAL,SAC,2.0,4,-2.0
5467,2022-01-03 00:00:00,DAL,DEN,-3.0,-14,11.0
6419,2022-11-12 00:00:00,DAL,POR,-6.5,-5,-1.5
2661,2019-10-27 00:00:00,DAL,POR,-2.5,2,-4.5
8305,2024-02-14 00:00:00,DAL,SAS,-11.0,-23,12.0
705,2018-01-24 00:00:00,DAL,HOU,6.5,7,-0.5
6436,2022-11-15 00:00:00,DAL,LAC,-6.5,-2,-4.5
4725,2021-05-02 00:00:00,DAL,SAC,-6.5,12,-18.5
6447,2022-11-16 00:00:00,DAL,HOU,-6.5,9,-15.5
5860,2022-03-03 00:00:00,DAL,GSW,-1.5,-9,7.5
6459,2022-11-18 00:00:00,DAL,DEN,-10.0,-28,18.0
3248,2020-01-17 00:00:00,DAL,POR,-7.5,-8,0.5
7605,2023-11-01 00:00:00,DAL,CHI,-3.5,-9,5.5
5872,2022-03-05 00:00:00,DAL,SAC,-4.5,-1,-3.5
6475,2022-11-20 00:00:00,DAL,DEN,-10.5,1,-11.5
8425,2024-03-07 00:00:00,DAL,MIA,-4.5,-6,1.5
8499,2024-03-17 00:00:00,DAL,DEN,1.0,-2,3.0
5410,2021-12-23 00:00:00,DAL,MIL,3.5,7,-3.5
5398,2021-12-21 00:00:00,DAL,MIN,2.5,-12,14.5
3276,2020-01-21 00:00:00,DAL,LAC,-2.5,3,-5.5
6129,2022-04-08 00:00:00,DAL,POR,-19.5,-50,30.5
6990,2023-01-30 00:00:00,DAL,DET,-10.5,-6,-4.5
2953,2019-12-07 00:00:00,DAL,NOP,-9.0,-46,37.0
6011,2022-03-23 00:00:00,DAL,HOU,-10.0,-19,9.0
7141,2023-02-26 00:00:00,DAL,LAL,-4.5,3,-7.5
4009,2021-01-25 00:00:00,DAL,DEN,2.0,4,-2.0
4301,2021-03-10 00:00:00,DAL,SAS,-4.5,-11,6.5
1133,2018-03-30 00:00:00,DAL,MIN,5.5,1,4.5
987,2018-03-10 00:00:00,DAL,MEM,-9.5,-34,24.5
326,2017-12-02 00:00:00,DAL,LAC,-4.5,-26,21.5
4531,2021-04-08 00:00:00,DAL,MIL,-2.5,-15,12.5
4143,2021-02-12 00:00:00,DAL,NOP,-3.0,-13,10.0
1820,2018-12-26 00:00:00,DAL,NOP,-2.0,-3,1.0
1907,2019-01-07 00:00:00,DAL,LAL,-7.5,10,-17.5
1163,2018-04-03 00:00:00,DAL,POR,7.0,-6,13.0
8632,2024-04-04 00:00:00,DAL,ATL,-11.5,-14,2.5
7157,2023-02-28 00:00:00,DAL,IND,-9.0,2,-11.0
1689,2018-12-08 00:00:00,DAL,HOU,3.5,-3,6.5
7939,2023-12-23 00:00:00,DAL,SAS,-8.5,-25,16.5
4288,2021-03-03 00:00:00,DAL,OKC,-5.0,-9,4.0
4215,2021-02-22 00:00:00,DAL,MEM,-4.0,-10,6.0
1751,2018-12-16 00:00:00,DAL,SAC,-4.5,7,-11.5
4505,2021-04-05 00:00:00,DAL,UTA,5.5,-8,13.5
7171,2023-03-02 00:00:00,DAL,PHI,-3.0,-7,4.0
4127,2021-02-10 00:00:00,DAL,ATL,-3.5,-1,-2.5
8078,2024-01-15 00:00:00,DAL,NOP,4.5,-5,9.5
8144,2024-01-24 00:00:00,DAL,PHX,2.5,23,-20.5
1924,2019-01-09 00:00:00,DAL,PHX,-11.0,-10,-1.0
8037,2024-01-09 00:00:00,DAL,MEM,-9.5,17,-26.5
4361,2021-03-17 00:00:00,DAL,LAC,2.5,-16,18.5
4661,2021-04-24 00:00:00,DAL,LAL,-2.0,-15,13.0
4555,2021-04-11 00:00:00,DAL,SAS,-6.0,2,-8.0
1708,2018-12-10 00:00:00,DAL,ORL,-4.5,-25,20.5
4341,2021-03-15 00:00:00,DAL,LAC,1.5,10,-8.5
4602,2021-04-16 00:00:00,DAL,NYK,-6.5,8,-14.5
4615,2021-04-18 00:00:00,DAL,SAC,-8.5,14,-22.5
7093,2023-02-13 00:00:00,DAL,MIN,-5.5,3,-8.5
346,2017-12-04 00:00:00,DAL,DEN,-2.0,-17,15.0
3952,2021-01-17 00:00:00,DAL,CHI,-6.5,16,-22.5
8131,2024-01-22 00:00:00,DAL,BOS,2.5,9,-6.5
1652,2018-12-02 00:00:00,DAL,LAC,3.5,-4,7.5
1723,2018-12-12 00:00:00,DAL,ATL,-9.5,-7,-2.5
7952,2023-12-27 00:00:00,DAL,CLE,-6.5,3,-9.5
1850,2018-12-30 00:00:00,DAL,OKC,2.5,-2,4.5
8023,2024-01-07 00:00:00,DAL,MIN,2.0,-7,9.0
4638,2021-04-21 00:00:00,DAL,DET,-10.5,-10,-0.5
995,2018-03-11 00:00:00,DAL,HOU,10.5,23,-12.5
7119,2023-02-23 00:00:00,DAL,SAS,-14.0,-26,12.0
4160,2021-02-14 00:00:00,DAL,POR,-5.5,3,-8.5
1092,2018-03-24 00:00:00,DAL,CHA,2.5,4,-1.5
8069,2024-01-13 00:00:00,DAL,NOP,-5.5,10,-15.5
400,2017-12-12 00:00:00,DAL,SAS,6.0,-6,12.0
3994,2021-01-23 00:00:00,DAL,HOU,-7.0,25,-32.0
7251,2023-03-13 00:00:00,DAL,MEM,4.5,16,-11.5
4561,2021-04-12 00:00:00,DAL,PHI,3.5,18,-14.5
4648,2021-04-22 00:00:00,DAL,LAL,-3.5,-5,1.5
8646,2024-04-05 00:00:00,DAL,GSW,0.0,-2,2.0
4048,2021-01-30 00:00:00,DAL,PHX,1.0,6,-5.0
8653,2024-04-07 00:00:00,DAL,HOU,-9.0,-11,2.0
3904,2021-01-09 00:00:00,DAL,ORL,-6.5,-14,7.5
4103,2021-02-06 00:00:00,DAL,GSW,-4.5,-2,-2.5
309,2017-11-29 00:00:00,DAL,BKN,-5.5,5,-10.5
7313,2023-03-22 00:00:00,DAL,GSW,3.5,2,1.5
7330,2023-03-24 00:00:00,DAL,CHA,-15.5,8,-23.5
8,2017-10-18 00:00:00,DAL,ATL,-5.5,6,-11.5
1663,2018-12-04 00:00:00,DAL,POR,-1.5,-9,7.5
1075,2018-03-22 00:00:00,DAL,UTA,8.0,7,1.0
4719,2021-05-01 00:00:00,DAL,WAS,-4.5,-1,-3.5
7212,2023-03-07 00:00:00,DAL,UTA,-11.0,-4,-7.0
8052,2024-01-11 00:00:00,DAL,NYK,5.0,-4,9.0
4063,2021-02-01 00:00:00,DAL,PHX,-2.0,1,-3.0
8009,2024-01-05 00:00:00,DAL,POR,-7.0,-36,29.0
7010,2023-02-02 00:00:00,DAL,NOP,-5.0,-5,0.0
7190,2023-03-05 00:00:00,DAL,PHX,2.0,4,-2.0
4114,2021-02-08 00:00:00,DAL,MIN,-10.0,-5,-5.0
4082,2021-02-04 00:00:00,DAL,GSW,-4.0,31,-35.0
7993,2024-01-03 00:00:00,DAL,POR,-11.0,-29,18.0
4430,2021-03-26 00:00:00,DAL,IND,1.5,15,-13.5
4223,2021-02-23 00:00:00,DAL,BOS,2.5,-3,5.5
5165,2021-11-18 00:00:00,DEN,PHI,-7.5,14,-21.5
4359,2021-03-17 00:00:00,DEN,CHA,-6.5,-25,18.5
5173,2021-11-19 00:00:00,DEN,CHI,3.5,6,-2.5
502,2017-12-26 00:00:00,DEN,UTA,-6.0,-24,18.0
2600,2019-05-07 00:00:00,DEN,POR,-5.0,-26,21.0
2238,2019-02-28 00:00:00,DEN,UTA,-7.5,7,-14.5
7538,2023-06-04 00:00:00,DEN,MIA,-8.0,3,-11.0
6651,2022-12-14 00:00:00,DEN,WAS,-11.5,-13,1.5
8306,2024-02-14 00:00:00,DEN,SAC,-5.5,4,-9.5
3465,2020-02-23 00:00:00,DEN,MIN,-14.5,-12,-2.5
2993,2019-12-12 00:00:00,DEN,POR,-7.5,-15,7.5
225,2017-11-17 00:00:00,DEN,NOP,-4.5,-32,27.5
5717,2022-02-06 00:00:00,DEN,BKN,-8.0,-20,12.0
2576,2019-04-23 00:00:00,DEN,SAS,-5.5,-18,12.5
3015,2019-12-15 00:00:00,DEN,NYK,-10.0,-6,-4.0
742,2018-01-29 00:00:00,DEN,BOS,-1.5,1,-2.5
7180,2023-03-03 00:00:00,DEN,MEM,-6.0,-16,10.0
3212,2020-01-12 00:00:00,DEN,LAC,-1.5,-10,8.5
1511,2018-11-13 00:00:00,DEN,HOU,-4.5,10,-14.5
3439,2020-02-12 00:00:00,DEN,LAL,3.0,4,-1.0
6622,2022-12-10 00:00:00,DEN,UTA,-11.5,-5,-6.5
2460,2019-03-31 00:00:00,DEN,WAS,-10.5,5,-15.5
3009,2019-12-14 00:00:00,DEN,OKC,-5.5,-8,2.5
2583,2019-04-27 00:00:00,DEN,SAS,-6.5,-4,-2.5
2252,2019-03-02 00:00:00,DEN,NOP,-13.5,8,-21.5
7687,2023-11-14 00:00:00,DEN,LAC,-4.5,-3,-1.5
5706,2022-02-04 00:00:00,DEN,NOP,-5.5,8,-13.5
8321,2024-02-22 00:00:00,DEN,WAS,-15.5,-20,4.5
2587,2019-04-29 00:00:00,DEN,POR,-4.0,-8,4.0
7537,2023-06-01 00:00:00,DEN,MIA,-9.0,-11,2.0
2590,2019-05-01 00:00:00,DEN,POR,-4.0,7,-11.0
8072,2024-01-14 00:00:00,DEN,IND,-10.5,-8,-2.5
3482,2020-02-25 00:00:00,DEN,DET,-13.5,-17,3.5
2426,2019-03-26 00:00:00,DEN,DET,-7.5,-3,-4.5
8232,2024-02-04 00:00:00,DEN,POR,-15.0,-9,-6.0
3520,2020-03-01 00:00:00,DEN,TOR,-2.5,-15,12.5
1362,2018-10-23 00:00:00,DEN,SAC,-11.5,-14,2.5
728,2018-01-27 00:00:00,DEN,DAL,-8.0,-2,-6.0
8024,2024-01-07 00:00:00,DEN,DET,-15.5,-17,1.5
7844,2023-12-08 00:00:00,DEN,HOU,-9.0,8,-17.0
5497,2022-01-07 00:00:00,DEN,SAC,-8.0,-10,2.0
6679,2022-12-18 00:00:00,DEN,CHA,-9.0,-4,-5.0
4342,2021-03-15 00:00:00,DEN,IND,-4.5,-15,10.5
273,2017-11-24 00:00:00,DEN,MEM,-6.0,-12,6.0
562,2018-01-03 00:00:00,DEN,PHX,-12.0,-23,11.0
7109,2023-02-15 00:00:00,DEN,DAL,-6.0,-9,3.0
6174,2022-04-24 00:00:00,DEN,GSW,4.5,-5,9.5
6694,2022-12-20 00:00:00,DEN,MEM,1.0,-14,15.0
7591,2023-10-30 00:00:00,DEN,UTA,-8.5,-8,-0.5
3535,2020-03-03 00:00:00,DEN,GSW,-16.0,16,-32.0
5070,2021-11-06 00:00:00,DEN,HOU,-11.5,-1,-10.5
793,2018-02-05 00:00:00,DEN,CHA,-4.0,-17,13.0
7204,2023-03-06 00:00:00,DEN,TOR,-6.0,-5,-1.0
5104,2021-11-10 00:00:00,DEN,IND,3.5,-3,6.5
8443,2024-03-09 00:00:00,DEN,UTA,-12.5,-21,8.5
3205,2020-01-11 00:00:00,DEN,CLE,-12.5,8,-20.5
3421,2020-02-10 00:00:00,DEN,SAS,-6.5,-7,0.5
