,Date,Home Team,Away Team,Betting Score Spread,Final Score Spread,Betting Line Error
7060,2023-02-09 00:00:00,ATL,PHX,-7.5,-9,1.5
4916,2021-06-18 00:00:00,ATL,PHI,3.0,5,-2.0
412,2017-12-14 00:00:00,ATL,DET,4.0,14,-10.0
6923,2023-01-21 00:00:00,ATL,CHA,-7.5,4,-11.5
6234,2022-10-19 00:00:00,ATL,HOU,-10.5,-10,-0.5
6249,2022-10-21 00:00:00,ATL,ORL,-9.0,-10,1.0
6267,2022-10-23 00:00:00,ATL,CHA,-10.0,17,-27.0
6363,2022-11-05 00:00:00,ATL,NOP,-2.0,-3,1.0
6378,2022-11-07 00:00:00,ATL,MIL,5.5,-19,24.5
6391,2022-11-09 00:00:00,ATL,UTA,-4.5,6,-10.5
6402,2022-11-10 00:00:00,ATL,PHI,-1.0,-9,8.0
6443,2022-11-16 00:00:00,ATL,BOS,0.0,25,-25.0
6464,2022-11-19 00:00:00,ATL,TOR,-5.5,-2,-3.5
6492,2022-11-23 00:00:00,ATL,SAC,-4.5,-9,4.5
6522,2022-11-27 00:00:00,ATL,MIA,-4.0,8,-12.0
532,2017-12-30 00:00:00,ATL,POR,2.0,-15,17.0
6556,2022-12-02 00:00:00,ATL,DEN,5.0,-8,13.0
6583,2022-12-05 00:00:00,ATL,OKC,-6.5,7,-13.5
507,2017-12-27 00:00:00,ATL,WAS,5.5,-14,19.5
6629,2022-12-11 00:00:00,ATL,CHI,-3.5,-1,-2.5
6683,2022-12-19 00:00:00,ATL,ORL,-8.5,-1,-7.5
6697,2022-12-21 00:00:00,ATL,CHI,-5.0,2,-7.0
6710,2022-12-23 00:00:00,ATL,DET,-9.5,-25,15.5
483,2017-12-23 00:00:00,ATL,DAL,1.5,-5,6.5
6746,2022-12-28 00:00:00,ATL,BKN,7.0,1,6.0
6759,2022-12-30 00:00:00,ATL,LAL,-6.0,9,-15.0
6849,2023-01-11 00:00:00,ATL,MIL,4.0,9,-5.0
454,2017-12-20 00:00:00,ATL,IND,5.0,10,-5.0
6890,2023-01-16 00:00:00,ATL,MIA,-1.0,-8,7.0
442,2017-12-18 00:00:00,ATL,MIA,1.0,-6,7.0
6913,2023-01-20 00:00:00,ATL,NYK,-3.5,-15,11.5
6974,2023-01-28 00:00:00,ATL,LAC,-1.0,7,-8.0
255,2017-11-22 00:00:00,ATL,LAC,3.0,13,-10.0
4910,2021-06-14 00:00:00,ATL,PHI,3.0,-3,6.0
4879,2021-05-30 00:00:00,ATL,NYK,-5.0,-17,12.0
2442,2019-03-29 00:00:00,ATL,POR,2.5,20,-17.5
2456,2019-03-31 00:00:00,ATL,MIL,2.0,-1,3.0
2479,2019-04-03 00:00:00,ATL,PHI,4.5,-8,12.5
1466,2018-11-07 00:00:00,ATL,NYK,1.5,5,-3.5
2531,2019-04-10 00:00:00,ATL,IND,1.5,1,0.5
2651,2019-10-26 00:00:00,ATL,ORL,2.5,-4,6.5
1439,2018-11-03 00:00:00,ATL,MIA,5.5,-5,10.5
2666,2019-10-28 00:00:00,ATL,PHI,6.5,2,4.5
2689,2019-10-31 00:00:00,ATL,MIA,6.5,9,-2.5
1425,2018-11-01 00:00:00,ATL,SAC,2.0,31,-29.0
2722,2019-11-05 00:00:00,ATL,SAS,5.5,-8,13.5
2728,2019-11-06 00:00:00,ATL,CHI,-2.5,20,-22.5
1480,2018-11-09 00:00:00,ATL,DET,5.5,15,-9.5
2742,2019-11-08 00:00:00,ATL,SAC,3.0,12,-9.0
2851,2019-11-23 00:00:00,ATL,TOR,7.0,3,4.0
2866,2019-11-25 00:00:00,ATL,MIN,4.5,12,-7.5
1387,2018-10-27 00:00:00,ATL,CHI,-6.0,12,-18.0
2918,2019-12-02 00:00:00,ATL,GSW,-6.5,-25,18.5
2932,2019-12-04 00:00:00,ATL,BKN,3.0,12,-9.0
1363,2018-10-24 00:00:00,ATL,DAL,2.0,-7,9.0
2997,2019-12-13 00:00:00,ATL,IND,6.0,10,-4.0
3013,2019-12-15 00:00:00,ATL,LAL,12.0,5,7.0
3039,2019-12-19 00:00:00,ATL,UTA,6.5,5,1.5
3092,2019-12-27 00:00:00,ATL,MIL,7.0,26,-19.0
3149,2020-01-04 00:00:00,ATL,IND,7.0,-5,12.0
3166,2020-01-06 00:00:00,ATL,DEN,7.0,8,-1.0
2827,2019-11-20 00:00:00,ATL,MIL,11.0,8,3.0
2400,2019-03-23 00:00:00,ATL,PHI,7.5,-2,9.5
2387,2019-03-21 00:00:00,ATL,UTA,7.5,-3,10.5
2371,2019-03-19 00:00:00,ATL,HOU,7.5,16,-8.5
1691,2018-12-08 00:00:00,ATL,DEN,5.5,-8,13.5
1655,2018-12-03 00:00:00,ATL,GSW,10.5,17,-6.5
1763,2018-12-18 00:00:00,ATL,WAS,3.0,-8,11.0
1815,2018-12-26 00:00:00,ATL,IND,6.5,8,-1.5
1841,2018-12-29 00:00:00,ATL,CLE,-4.0,-3,-1.0
1898,2019-01-06 00:00:00,ATL,MIA,6.5,-24,30.5
1599,2018-11-25 00:00:00,ATL,CHA,6.5,-1,7.5
1951,2019-01-13 00:00:00,ATL,MIL,9.5,19,-9.5
1964,2019-01-15 00:00:00,ATL,OKC,10.0,-16,26.0
1994,2019-01-19 00:00:00,ATL,BOS,6.5,8,-1.5
2006,2019-01-21 00:00:00,ATL,ORL,-2.0,19,-21.0
1579,2018-11-23 00:00:00,ATL,BOS,8.0,18,-10.0
1565,2018-11-21 00:00:00,ATL,TOR,8.0,16,-8.0
2124,2019-02-07 00:00:00,ATL,TOR,6.5,18,-11.5
1554,2018-11-19 00:00:00,ATL,LAC,6.5,8,-1.5
2138,2019-02-09 00:00:00,ATL,CHA,2.0,9,-7.0
2148,2019-02-10 00:00:00,ATL,ORL,1.0,16,-15.0
2159,2019-02-12 00:00:00,ATL,LAL,6.0,-4,10.0
2176,2019-02-14 00:00:00,ATL,NYK,-7.5,15,-22.5
2188,2019-02-22 00:00:00,ATL,DET,4.5,3,1.5
2194,2019-02-23 00:00:00,ATL,PHX,-3.0,-8,5.0
2223,2019-02-27 00:00:00,ATL,MIN,5.0,-8,13.0
2239,2019-03-01 00:00:00,ATL,CHI,1.0,7,-6.0
2279,2019-03-06 00:00:00,ATL,SAS,5.5,7,-1.5
2298,2019-03-09 00:00:00,ATL,BKN,4.5,2,2.5
2306,2019-03-10 00:00:00,ATL,NOP,1.5,-12,13.5
2327,2019-03-13 00:00:00,ATL,MEM,1.0,-21,22.0
3181,2020-01-08 00:00:00,ATL,HOU,7.5,7,0.5
3221,2020-01-14 00:00:00,ATL,PHX,1.5,-13,14.5
3252,2020-01-18 00:00:00,ATL,DET,1.5,33,-31.5
3263,2020-01-20 00:00:00,ATL,TOR,9.0,5,4.0
4152,2021-02-13 00:00:00,ATL,IND,1.5,12,-10.5
4211,2021-02-21 00:00:00,ATL,DEN,2.5,-8,10.5
4229,2021-02-24 00:00:00,ATL,BOS,1.0,-15,16.0
4324,2021-03-13 00:00:00,ATL,SAC,-4.0,-15,11.0
4332,2021-03-14 00:00:00,ATL,CLE,-5.5,-18,12.5
4363,2021-03-18 00:00:00,ATL,OKC,-8.0,-23,15.0
4501,2021-04-04 00:00:00,ATL,GSW,2.0,-6,8.0
4512,2021-04-06 00:00:00,ATL,NOP,-3.5,-16,12.5
4523,2021-04-07 00:00:00,ATL,MEM,1.5,18,-16.5
4538,2021-04-09 00:00:00,ATL,CHI,-2.5,-12,9.5
1019,2018-03-15 00:00:00,ATL,CHA,5.5,12,-6.5
4588,2021-04-15 00:00:00,ATL,MIL,4.0,11,-7.0
1005,2018-03-13 00:00:00,ATL,OKC,6.0,12,-6.0
4609,2021-04-18 00:00:00,ATL,IND,-2.0,-12,10.0
4626,2021-04-20 00:00:00,ATL,ORL,-12.5,-16,3.5
4649,2021-04-23 00:00:00,ATL,MIA,6.5,-15,21.5
991,2018-03-11 00:00:00,ATL,CHI,-2.0,7,-9.0
4668,2021-04-25 00:00:00,ATL,MIL,6.0,-7,13.0
4714,2021-05-01 00:00:00,ATL,CHI,-8.5,-11,2.5
4733,2021-05-03 00:00:00,ATL,POR,-2.5,-9,6.5
